[11:18:39] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.5
[11:18:39] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.5
	   \-- mixinextras 0.4.1
	- java 21
	- minecraft 1.20.1
[11:18:39] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/Ourcraft/server/libraries/net/fabricmc/sponge-mixin/0.15.3+mixin.0.8.7/sponge-mixin-0.15.3+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[11:18:46] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[11:18:48] [main/INFO]: Loaded 7 recipes
[11:18:48] [main/INFO]: Loaded 1271 advancements
[11:18:48] [Server thread/INFO]: Starting minecraft server version 1.20.1
[11:18:48] [Server thread/INFO]: Loading properties
[11:18:48] [Server thread/INFO]: Default game type: SURVIVAL
[11:18:48] [Server thread/INFO]: Generating keypair
[11:18:49] [Server thread/INFO]: Starting Minecraft server on *:25565
[11:18:49] [Server thread/INFO]: Using epoll channel type
[11:18:49] [Server thread/INFO]: Preparing level "world"
[11:18:55] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[11:18:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[11:18:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[11:18:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[11:18:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[11:18:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[11:18:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[11:18:58] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[11:18:59] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[11:18:59] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[11:19:00] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[11:19:00] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[11:19:01] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[11:19:01] [Worker-Main-1/INFO]: Preparing spawn area: 8%
[11:19:02] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[11:19:02] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[11:19:03] [Worker-Main-1/INFO]: Preparing spawn area: 12%
[11:19:03] [Worker-Main-3/INFO]: Preparing spawn area: 14%
[11:19:04] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[11:19:04] [Worker-Main-3/INFO]: Preparing spawn area: 17%
[11:19:05] [Worker-Main-2/INFO]: Preparing spawn area: 18%
[11:19:05] [Worker-Main-1/INFO]: Preparing spawn area: 20%
[11:19:06] [Worker-Main-1/INFO]: Preparing spawn area: 22%
[11:19:06] [Worker-Main-1/INFO]: Preparing spawn area: 23%
[11:19:07] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[11:19:07] [Worker-Main-3/INFO]: Preparing spawn area: 26%
[11:19:08] [Worker-Main-1/INFO]: Preparing spawn area: 28%
[11:19:08] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[11:19:09] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[11:19:09] [Worker-Main-1/INFO]: Preparing spawn area: 33%
[11:19:10] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[11:19:10] [Worker-Main-3/INFO]: Preparing spawn area: 37%
[11:19:11] [Worker-Main-1/INFO]: Preparing spawn area: 41%
[11:19:11] [Worker-Main-3/INFO]: Preparing spawn area: 42%
[11:19:12] [Worker-Main-1/INFO]: Preparing spawn area: 44%
[11:19:12] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[11:19:13] [Worker-Main-1/INFO]: Preparing spawn area: 49%
[11:19:13] [Worker-Main-1/INFO]: Preparing spawn area: 52%
[11:19:14] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[11:19:14] [Worker-Main-3/INFO]: Preparing spawn area: 56%
[11:19:15] [Worker-Main-1/INFO]: Preparing spawn area: 57%
[11:19:15] [Worker-Main-1/INFO]: Preparing spawn area: 59%
[11:19:16] [Worker-Main-1/INFO]: Preparing spawn area: 61%
[11:19:16] [Worker-Main-3/INFO]: Preparing spawn area: 64%
[11:19:17] [Worker-Main-1/INFO]: Preparing spawn area: 66%
[11:19:17] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[11:19:18] [Worker-Main-1/INFO]: Preparing spawn area: 70%
[11:19:18] [Worker-Main-1/INFO]: Preparing spawn area: 72%
[11:19:19] [Worker-Main-3/INFO]: Preparing spawn area: 76%
[11:19:19] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[11:19:20] [Worker-Main-1/INFO]: Preparing spawn area: 82%
[11:19:20] [Worker-Main-3/INFO]: Preparing spawn area: 84%
[11:19:21] [Worker-Main-3/INFO]: Preparing spawn area: 87%
[11:19:21] [Worker-Main-1/INFO]: Preparing spawn area: 90%
[11:19:22] [Worker-Main-2/INFO]: Preparing spawn area: 93%
[11:19:22] [Worker-Main-3/INFO]: Preparing spawn area: 96%
[11:19:23] [Worker-Main-1/INFO]: Preparing spawn area: 98%
[11:19:23] [Server thread/INFO]: Time elapsed: 27704 ms
[11:19:23] [Server thread/INFO]: Done (34.193s)! For help, type "help"
